filter,qa,qb,qc,ua,ub,uc
B,2.1727398623353847e-06,-2.9949072333589757e-06,-0.0002934795893474259,4.6965879035108235e-06,-4.095790218013833e-06,-0.004633669439382345
V,-4.411804515291356e-06,-1.0097003220645623e-05,0.01106376670821914,-6.250064322839681e-06,-5.634877367545634e-06,-0.016738751985241804
R,-3.7347642398620947e-06,-7.737882918270283e-06,0.015452356608437582,7.763047359830228e-06,-6.01840709122394e-06,-0.029453176362536068
I,-4.724146599452427e-07,-9.627835827519158e-06,0.015765363059892318,2.5414729532390854e-06,-4.528010270520136e-06,-0.031205738226886274
L,3.329020294148114e-06,-6.098431249221707e-06,0.007578620206262484,4.747351254674338e-06,-1.0935444225713177e-05,-0.014149564364591088
